categories
category_id	name
1	Electronics
2	Books
3	Home
4	Fashion
5	Sports

customers
customer_id	full_name	email	city	created_at
101	田中 太郎	taro.tanaka@example.com	Tokyo	2024-01-05 09:12:00
102	佐藤 花子	hanako.sato@example.com	Osaka	2024-01-12 14:30:00
103	鈴木 次郎	jiro.suzuki@example.com	Nagoya	2024-02-01 08:15:00
104	高橋 三郎	saburo.takahashi@example.com	Fukuoka	2024-02-11 11:00:00
105	山本 優子	yuko.yamamoto@example.com	Sapporo	2024-02-20 10:45:00
106	伊藤 直子	naoko.ito@example.com	Tokyo	2024-03-01 16:20:00

products
product_id	name	category_id	price	created_at
201	Wireless Headphones	1	12800.00	2024-01-01 00:00:00
202	4K Monitor 27-inch	1	39800.00	2024-01-02 00:00:00
203	USB-C Charger 65W	1	2980.00	2024-01-03 00:00:00
204	SQL入門ブック	2	2480.00	2024-01-10 00:00:00
205	アルゴリズム図鑑	2	3200.00	2024-01-15 00:00:00
206	Non-stick Frying Pan	3	4200.00	2024-01-20 00:00:00
207	Vacuum Cleaner	3	16800.00	2024-01-22 00:00:00
208	Casual T-Shirt	4	1800.00	2024-02-01 00:00:00
209	Running Shoes	5	9800.00	2024-02-05 00:00:00
210	Yoga Mat	5	2600.00	2024-02-08 00:00:00

orders
order_id	customer_id	order_date	status
301	101	2024-02-01 10:00:00	shipped
302	101	2024-02-10 12:30:00	shipped
303	102	2024-02-14 09:25:00	cancelled
304	103	2024-02-18 15:40:00	processing
305	104	2024-02-20 19:00:00	shipped
306	104	2024-02-25 13:10:00	processing
307	105	2024-03-01 11:50:00	shipped
308	105	2024-03-02 17:05:00	processing
309	106	2024-03-03 09:00:00	shipped
310	106	2024-03-03 10:15:00	processing
311	102	2024-03-05 18:45:00	shipped
312	103	2024-03-10 08:20:00	processing

order_items
order_id	product_id	quantity	unit_price
301	201	1	12800.00
301	203	2	2980.00
302	204	1	2480.00
302	205	1	3200.00
302	203	1	2980.00
303	208	2	1800.00
304	206	1	4200.00
304	207	1	16800.00
305	209	1	9800.00
305	210	1	2600.00
306	202	1	39800.00
307	201	1	12800.00
307	209	1	9800.00
308	210	2	2600.00
309	205	1	3200.00
309	208	3	1800.00
310	204	2	2480.00
310	203	1	2980.00
311	207	1	16800.00
312	206	1	4200.00
312	210	1	2600.00

payments
payment_id	order_id	amount	payment_date	method
401	301	18760.00	2024-02-01 10:05:00	card
402	302	8660.00	2024-02-10 12:35:00	card
404	305	12400.00	2024-02-20 19:05:00	bank
407	307	22600.00	2024-03-01 11:55:00	card
409	309	8600.00	2024-03-03 09:05:00	cash
411	311	16800.00	2024-03-05 18:50:00	card
